GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,101,3,12,1,24,3,8,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,37,216,4,9,12,61,5,10,1,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,3,57,1,5,1,26,1,7,0,4
parking-system,com.parkit.parkingsystem,App,44,0,0,0,10,0,2,0,2,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,0,25,0,0,0,10,0,5,0,5
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,10,42,1,3,4,15,1,5,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,8,257,2,8,5,76,2,8,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,5,108,0,2,2,34,0,5,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,89,28,6,2,33,9,7,4,4,3
