GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,101,3,12,1,24,3,8,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,37,216,4,9,12,61,5,10,1,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,3,57,1,5,1,26,1,7,0,4
parking-system,com.parkit.parkingsystem,App,44,0,0,0,10,0,2,0,2,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,3,22,0,0,1,9,1,4,1,4
parking-system,com.parkit.parkingsystem.model,Ticket,3,42,0,0,1,18,1,12,1,12
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,10,42,1,3,4,15,1,5,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,16,249,4,6,9,72,4,6,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,11,102,1,1,4,32,1,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,20,97,3,5,8,34,3,8,0,7
